127.0.0.1 - - [24/Jun/2016:13:59:38 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:41 +0800] "GET /GPSweb/808gps/login.html HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:41 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/js/public.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/js/jquery.placeholder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/js/lang_fun.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/js/glume.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/js/pageStyle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/js/public.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/js/myajax.js?150107 HTTP/1.1" 304 -
